period,desi_index,digital_industrialization,industrial_digitization,sample_regions,version,is_test_data,note
2016-01,100.5,100.7,99,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-02,100.8,101.2,99.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-03,101.1,101.7,99.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-04,101.2,102.1,99.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-05,101.4,102.5,99.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-06,101.5,102.8,100,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-07,101.5,102.9,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-08,101.6,103,100.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-09,101.6,103,100.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-10,101.6,102.9,100.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-11,101.7,102.7,100.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2016-12,101.7,102.4,101,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-01,101.7,102.1,101.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-02,101.8,101.7,101.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-03,101.8,101.4,101.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-04,101.7,101,101.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-05,101.7,100.6,101.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-06,101.5,100.3,101.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-07,101.4,100,101.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-08,101.1,99.7,101.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-09,100.8,99.6,101,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-10,100.5,99.5,100.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-11,100.1,99.6,100.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2017-12,99.7,99.7,100.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-01,99.4,99.9,100.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-02,99.1,100.3,100.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-03,98.9,100.6,99.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-04,98.7,101.1,99.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-05,98.7,101.6,99.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-06,98.7,102.2,99.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-07,98.9,102.7,99,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-08,99.2,103.3,98.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-09,99.5,103.9,98.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-10,99.9,104.4,98.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-11,100.3,104.8,98.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2018-12,100.8,105.2,98.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-01,101.2,105.5,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-02,101.6,105.7,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-03,101.9,105.8,98,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-04,102.2,105.8,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-05,102.4,105.8,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-06,102.6,105.6,98.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-07,102.7,105.4,98.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-08,102.8,105.1,98.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-09,102.8,104.7,98.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-10,102.9,104.3,98.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-11,102.9,104,98.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2019-12,102.9,103.6,99,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-01,103,103.2,99.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-02,103,102.9,99.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-03,103.1,102.7,99.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-04,103.1,102.5,99.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-05,103.1,102.4,100,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-06,103,102.4,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-07,103,102.5,100.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-08,102.8,102.7,100.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-09,102.6,102.9,100.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-10,102.4,103.3,100.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-11,102,103.7,100.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2020-12,101.7,104.2,100.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-01,101.3,104.8,100.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-02,101,105.3,100.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-03,100.6,105.9,100.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-04,100.3,106.5,100.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-05,100.1,107,100.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-06,100,107.5,100.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-07,100,107.9,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
